"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"ремонт delem","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"delem не делает обнуление","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"гидравлический листогиб ремонт","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт матрицы листогибочного станка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт гильотины красноярске","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"почему на листогибе и1330 одна сторона обгоняет другую","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"стойка управления неисправности","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"замена delem","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт пилы углич","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"delem ошибка s9170","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт старых станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","37.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","37.00",""
"вибрация листогибочного пресса при опускании","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"листогиб гидравлический работает рывками","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт бензиновых пил в ковылкино","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"обслужить гильотину","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"листогибочный станок дурма после отключения безопасности стал медленный","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт листогиба akn","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"новосибирск где находится мастерская трубогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"davi mcbf-20 ремонт вальцов","2026-07-23 - 2026-08-23","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","9.00","9.00","0.00","0.00","","",""
"где отремонтировать трубогиб","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт гильотины красноярска","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"листогиб не отпускает","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"листогибочный станок с чпу тормозит во время работы","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"стойка делем инструкция","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт пил в усть куте","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт трубогибов в красноярске","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"частые поломки гибочного станка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"листогиб гидравлический работает рывками причина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"моршанск ремонт бензопил.","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"на листогибочном станке не поднимается поворотный стол причина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"трубогиб и профилегиб в чем отличие","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"работа на стойке delem da 66t станок borbet","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"что за ошибка у листогиба amd 10031 b0424","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт станков лидвелл","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт пил в бабаево","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт листогибочного","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"техническое обслуживание трубогибочных станков в самаре","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"листогиб не меняет угол","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"замена перепускного клапана в гильотине дурма видео","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"поломки гибочного станка для списания","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"приклинивает правая сторона листогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"гидравлический листогиб ремонт донецк","2026-07-23 - 2026-08-23","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"гибочный станок гудит и моросит при работе","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"листогиб зажал и не поднимается","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"листогиб kpa 135/3200 падает одна сторона","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"чиним станки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт ручного гидравлического трубогиба в екатеринбурге","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт разорвавшиеся ленточные пилы тула","2026-07-23 - 2026-08-23","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"у листогиб не регулируется поршень","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"ремонт листогиба москва","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"почему гибочный станок не гнет когда масло отработано","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"сервис-инженер ремонтирует ленточнопильный станок","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"delem программа встал станок","2026-07-23 - 2026-08-23","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"как прокачать систему, сменить масло, промыть бак на ленточно-пильном станке bs-170g","2026-07-23 - 2026-08-23","1.00","0.00","0.00","23.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","23.00",""
"ремонт и обслуживание листогибов dener днр.","2026-07-23 - 2026-08-23","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт гильотины для рубки металла в белгороде","2026-07-23 - 2026-08-23","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"ремонт трубогибочных станков stark","2026-07-23 - 2026-08-23","1.00","0.00","0.00","29.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","29.00",""
"контроллер delem da-69t коды ошибок s9029","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт трубогиба чехия","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"24stanki@gmail.com","2026-07-23 - 2026-08-23","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"delem da-58t ошибка d0297","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"зазор между ножами гильотины таблица srfatlant","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"причины нестабильного гиба на листогибочном станке","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"система elite листогиб ошибки","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"услуга ремонт листогибочных станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","28.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","28.00",""
"ремонт ленточнопильного станка в симферополе белмаш","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"как произвести замену нерабочего драйвера на новый на станках с чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"гидравлический листогиб не догибает после некоторого времени работы","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт бензопил в каргополе","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"замена ножей на китайской гильотине","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"специалист по настройке гильотины для багета свердловская область","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"обслуживание листогиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт бензопил малая вишера мастер","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков москве в quadrо-teсhnоlogy4-v7","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт листогиба самара","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт гильотиновых ножниц нгм 6.3","2026-07-23 - 2026-08-23","1.00","1.00","100.00","6.00","6.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","6.00","6.00","0.00","0.00","","",""
"ошибки delem","2026-07-23 - 2026-08-23","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт бензопил малая вишера","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"не крутится стойка чпу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"http://stanki-remont.ru/","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"чем отличается трубогиб от профилегиба","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"листогиб ермаксан с чпу стойка сиберика медленно опускается балка в чем проблема","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"гибочный станок выдает ошибку the beam hasn t indexed properly","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт гильотину","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"на железной раме сложно вставать на станр","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"24 станка","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"delem da-52 в ручном режиме не изменить параметры y2","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"d0258 ошибка листогиб","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"гибочный станок ермаксан не поднимется после гибки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"где в донецке днр можно настроить или отремонтировать роликовые ножи для листогиба","2026-07-23 - 2026-08-23","1.00","4.00","400.00","2.00","2.00","0.00","0.00","","1.00","4.00","400.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"delem da-65w как поднять ось y","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"гильотина н-475 ремонт","2026-07-23 - 2026-08-23","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"износ вальцев","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"листогиб delem моргает ресет ошибка м1501","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"зависает листогиб delem","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"delem da-66w сброс параметров по умолчанию","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"лленточная пила bekamak частые поломки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт вальцовочных станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"нож на гильотине не поднимается","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ремонт estun","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт арматурогибов в тольятти","2026-07-23 - 2026-08-23","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"настройка листогиба услуга","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт гильотины по пластику","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"гибочный станок не доги с одной стороны","2026-07-23 - 2026-08-23","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"ремонт двигателя estun 08","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"калибровка вальцов дурма","2026-07-23 - 2026-08-23","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"ремонт листогибочного станка екатеринбург","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ермаксан гибочный станок не опускается пуансон причина неисправности","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"по каким причинам на листогибе металмастер 2040 постоянно работает медленный ход только на опускание","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт трубогибочных станков","2026-07-23 - 2026-08-23","1.00","0.00","0.00","39.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","39.00",""
"ремонт электро вальцовки","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт и обслуживание листогибов в московской области","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"ремонт ленточных пил по дереву в рязани","2026-07-23 - 2026-08-23","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"листогиб ремонт новосибирск","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт ленточный пил для мясо сочи","2026-07-23 - 2026-08-23","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"почему листогиб каждый раз гнет по разному","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"стойка делем да66т ручной режим","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"коды delem","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"ремонт и настройка листогибов shechtl в спб","2026-07-23 - 2026-08-23","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"крон сварог бирск","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"ремонт гильотины для рубки металла не приходит 24 в на реле","2026-07-23 - 2026-08-23","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"ремонт деревообрабатывающих станков в москве quadro-тechnоlo§gy","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ремонт сцепления строгального станка по металлу ст 58","2026-07-23 - 2026-08-23","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"нисса ремонт гильотины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ермаксан гибочный станок моменте залипает балка причина","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"зависает листогиб delem по илинлрам y1 и y2","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"листогиб китайский проблемы с гидравликой","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"service.stanki.ru","2026-07-23 - 2026-08-23","1.00","0.00","0.00","20.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","20.00",""
"ремонт деревообрабатывающих станков в москве {quadro-тесhnоlоgy24}","2026-07-23 - 2026-08-23","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"дергается ползунок листогиба причины","2026-07-23 - 2026-08-23","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"ремонт пил великий устюг","2026-07-23 - 2026-08-23","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"листогиб ошибка ползунок не останавливается","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"листогиб ручной не зачеркивает края что может быть","2026-07-23 - 2026-08-23","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"сервис ремонта лентопилочный станок в нижнем новгороде","2026-07-23 - 2026-08-23","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"листогибочный станок станок мах-20-08 2,6м износ что может сломаться","2026-07-23 - 2026-08-23","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"ремонт пил еманжелинск","2026-07-23 - 2026-08-23","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"ремонт ленточных пил по мясу","2026-07-23 - 2026-08-23","1.00","0.00","0.00","22.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","22.00",""
